"propuesta","plan","anio_academico","cantidad"
"CP-CCCP-PC","Plan Nuevo",2022,1
"CP-CCCP-PC","Plan Nuevo",2023,14
"CP-CCCP-PC","Plan Nuevo",2024,13
"CP-CCCP-PC","Plan Nuevo",2025,7
"CP-CCCP-PC","Plan Viejo",2015,2
"CP-CCCP-PC","Plan Viejo",2016,7
"CP-CCCP-PC","Plan Viejo",2017,11
"CP-CCCP-PC","Plan Viejo",2018,11
"CP-CCCP-PC","Plan Viejo",2019,18
"CP-CCCP-PC","Plan Viejo",2020,9
"CP-CCCP-PC","Plan Viejo",2021,26
"CP-CCCP-PC","Plan Viejo",2022,34
"CP-CCCP-PC","Plan Viejo",2023,22
"CP-CCCP-PC","Plan Viejo",2024,12
"CP-CCCP-PC","Plan Viejo",2025,9
"LI-LAGE-P","Plan Nuevo",2017,3
"LI-LAGE-P","Plan Nuevo",2018,7
"LI-LAGE-P","Plan Nuevo",2019,9
"LI-LAGE-P","Plan Nuevo",2020,88
"LI-LAGE-P","Plan Nuevo",2021,134
"LI-LAGE-P","Plan Nuevo",2022,116
"LI-LAGE-P","Plan Nuevo",2023,110
"LI-LAGE-P","Plan Nuevo",2024,80
"LI-LAGE-P","Plan Nuevo",2025,25
"LI-LAGE-P","Plan Viejo",1999,11
"LI-LAGE-P","Plan Viejo",2000,13
"LI-LAGE-P","Plan Viejo",2001,15
"LI-LAGE-P","Plan Viejo",2002,17
"LI-LAGE-P","Plan Viejo",2003,27
"LI-LAGE-P","Plan Viejo",2004,21
"LI-LAGE-P","Plan Viejo",2005,19
"LI-LAGE-P","Plan Viejo",2006,8
"LI-LAGE-P","Plan Viejo",2007,11
"LI-LAGE-P","Plan Viejo",2008,28
"LI-LAGE-P","Plan Viejo",2009,126
"LI-LAGE-P","Plan Viejo",2010,69
"LI-LAGE-P","Plan Viejo",2011,33
"LI-LAGE-P","Plan Viejo",2012,38
"LI-LAGE-P","Plan Viejo",2013,40
"LI-LAGE-P","Plan Viejo",2014,26
"LI-LAGE-P","Plan Viejo",2015,34
"LI-LAGE-P","Plan Viejo",2016,45
"LI-LAGE-P","Plan Viejo",2017,61
"LI-LAGE-P","Plan Viejo",2018,59
"LI-LAGE-P","Plan Viejo",2019,52
"LI-LAGE-P","Plan Viejo",2020,46
"LI-LAGE-P","Plan Viejo",2021,56
"LI-LAGE-P","Plan Viejo",2022,31
"LI-LAGE-P","Plan Viejo",2023,9
"LI-LAGE-P","Plan Viejo",2024,12
"LI-LAGE-P","Plan Viejo",2025,9
"LI-LECO-P","Plan Nuevo",2019,3
"LI-LECO-P","Plan Nuevo",2020,3
"LI-LECO-P","Plan Nuevo",2021,10
"LI-LECO-P","Plan Nuevo",2022,7
"LI-LECO-P","Plan Nuevo",2023,10
"LI-LECO-P","Plan Nuevo",2024,6
"LI-LECO-P","Plan Nuevo",2025,1
"LI-LECO-P","Plan Viejo",1999,1
"LI-LECO-P","Plan Viejo",2000,2
"LI-LECO-P","Plan Viejo",2001,2
"LI-LECO-P","Plan Viejo",2002,1
"LI-LECO-P","Plan Viejo",2003,4
"LI-LECO-P","Plan Viejo",2004,5
"LI-LECO-P","Plan Viejo",2006,2
"LI-LECO-P","Plan Viejo",2007,1
"LI-LECO-P","Plan Viejo",2008,11
"LI-LECO-P","Plan Viejo",2009,10
"LI-LECO-P","Plan Viejo",2010,4
"LI-LECO-P","Plan Viejo",2011,3
"LI-LECO-P","Plan Viejo",2012,8
"LI-LECO-P","Plan Viejo",2013,2
"LI-LECO-P","Plan Viejo",2014,4
"LI-LECO-P","Plan Viejo",2015,1
"LI-LECO-P","Plan Viejo",2016,4
"LI-LECO-P","Plan Viejo",2017,13
"LI-LECO-P","Plan Viejo",2018,6
"LI-LECO-P","Plan Viejo",2019,3
"LI-LECO-P","Plan Viejo",2020,4
"LI-LECO-P","Plan Viejo",2021,2
"LI-LECO-P","Plan Viejo",2022,3
"LI-LECO-P","Plan Viejo",2023,2
"LI-LTUR-P","Plan Nuevo",2020,6
"LI-LTUR-P","Plan Nuevo",2021,20
"LI-LTUR-P","Plan Nuevo",2022,26
"LI-LTUR-P","Plan Nuevo",2023,68
"LI-LTUR-P","Plan Nuevo",2024,42
"LI-LTUR-P","Plan Nuevo",2025,9
"LI-LTUR-P","Plan Viejo",2015,1
"LI-LTUR-P","Plan Viejo",2018,1
"LI-LTUR-P","Plan Viejo",2019,1
"LI-LTUR-P","Plan Viejo",2020,1
"LI-LTUR-P","Plan Viejo",2021,6
"LI-LTUR-P","Plan Viejo",2022,7
"LI-LTUR-P","Plan Viejo",2023,3
"LI-LTUR-P","Plan Viejo",2024,1
