fecha_insc,cantidad
2018-06-23,1
2018-07-06,1
2021-06-30,1
2021-07-14,1
2024-10-01,39
2024-10-02,15
2024-10-03,73
2024-10-04,24
2024-10-07,69
2024-10-08,60
2024-10-09,95
2024-10-10,13
2024-10-14,41
2024-10-15,101
2024-10-16,26
2024-10-17,53
2024-10-18,31
2024-10-19,7
2024-10-21,45
2024-10-22,27
2024-10-23,44
2024-10-24,37
2024-10-25,21
2024-10-26,2
2024-10-28,107
2024-10-29,68
2024-10-30,72
2024-10-31,116
2024-11-01,39
2024-11-02,14
2024-11-04,55
2024-11-05,50
2024-11-06,24
2024-11-07,17
2024-11-08,30
2024-11-11,25
2024-11-12,7
2024-11-13,5
2024-11-14,12
2024-11-15,3
2024-11-19,2
2024-11-20,2
2024-11-21,7
2024-11-22,5
2024-11-23,2
2024-11-25,2
2024-11-26,2
2024-11-27,4
2024-11-28,9
2024-11-29,7
2024-12-02,6
2024-12-03,4
2024-12-04,3
2024-12-05,3
2024-12-06,1
2024-12-09,3
2024-12-10,2
2024-12-12,2
2024-12-13,3
2024-12-16,4
2024-12-17,1
2024-12-19,2
2024-12-20,2
2024-12-26,2
2025-02-03,1
2025-02-04,1
2025-02-05,4
2025-02-06,27
2025-02-07,30
2025-02-10,22
2025-02-11,37
2025-02-12,48
2025-02-13,63
2025-02-14,9
2025-02-17,5
2025-02-18,13
2025-02-19,5
2025-02-20,4
2025-02-21,2
2025-02-24,3
2025-02-25,1
2025-02-26,1
2025-02-28,1
2025-03-05,1
2025-03-06,1
2025-03-07,2
2025-03-11,2
2025-03-12,1
2025-03-13,2
2025-03-14,1
2025-03-26,1
2025-03-27,1
2025-03-28,1
2025-03-31,1
2025-04-01,2
2025-04-08,1
2025-04-23,1
2025-04-24,1
2025-04-28,1
2025-05-05,1
2025-05-12,2
2025-05-13,1
2025-05-14,1
2025-05-16,1
2025-05-21,1
2025-05-23,1
2025-05-27,2
2025-05-29,1
2025-06-03,2
2025-06-05,1
2025-06-17,1
2025-06-19,1
2025-06-26,4
2025-06-27,48
2025-06-28,179
2025-06-29,22
2025-07-04,8
2025-07-07,198
2025-07-08,101
2025-07-10,2
2025-07-11,48
2025-07-14,7
2025-07-15,2
2025-07-16,1
2025-07-17,4
2025-07-18,4
2025-07-21,10
2025-07-22,18
2025-07-23,3
2025-07-24,5
2025-07-25,4
2025-07-28,9
2025-07-29,11
2025-07-30,1
2025-07-31,4
2025-08-01,1
2025-08-04,2
2025-08-07,1
2025-08-08,1
2025-08-12,2
2025-08-13,1
2025-08-19,1
2025-08-29,1
2025-09-03,1
2025-09-15,1
2025-09-22,1
2025-09-24,1
2025-09-25,2
2025-09-29,1
