Codigo,Nombre,Tipo,Estado
CC-AUEN-P,ANALISTA UNIVERSITARIO EN NEGOCIOS,Pregrado,Activo
CC-GTUR-P,GUÍA DE TURISMO,Pregrado,Activo
CI-EEYN-P,CPU - EEYN,Curso de Ingreso,Activo
CI-GUIA-P,CPU - TECNICATURA UNIVERSITARIA EN GUÍA DE TURISMO,Curso de Ingreso,Activo
CI-LTUR-P,CPU - LICENCIATURA EN TURISMO,Curso de Ingreso,Activo
CI-MPCC-P,CPU - MARTILLERO PÚBLICO Y CORREDOR DE COMERCIO,Curso de Ingreso,Activo
CP-CCCP-PC,CONTADOR PÚBLICO,Grado,Activo
CU-CGEM-P,CURSO DE POSGRADO CONSULTORÍA EN GESTIÓN DE EMPRESAS,Cursos,Activo
CV-EEYN-P,CONVALIDACIONES - EEYN,Vocacional,Activo
DI-AGTI-P,DIPLOMATURA EN ESTUDIOS AVANZADOS EN GESTIÓN DE LA TECNOLOGÍA Y LA INNOVACIÓN,Cursos,Activo
DI-DDMP-P,DIPLOMATURA SUPERIOR UNIVERSITARIA EN DIRECCIÓN Y MARKETING DE PYMES,Cursos,Activo
DI-DGAE-P,DIPLOMA UNIVERSITARIO EN GESTIÓN DE LA ACTIVIDAD EQUINA,Cursos,Activo
DI-DINT-P,DIPLOMATURA SUPERIOR UNIVERSITARIA EN GESTIÓN DE LA INNOVACIÓN Y NEGOCIOS TECNOLÓGICOS PARA PYMES,Cursos,Activo
DI-DSGT-P,DIPLOMATURA SUPERIOR EN GUÍA DE TURISMO,Cursos,Activo
DI-DUGA-P,DIPLOMA UNIVERSITARIO EN GESTIÓN DE AGRONEGOCIOS,Cursos,Activo
DI-EAES-P,DIPLOMA EN ESTUDIOS AVANZADOS EN ECONOMÍA SOLIDARIA,Programas de Formación,Activo
DI-EEDT-P,DIPLOMATURA EN ECONOMÍA Y DESARROLLO DEL TURISMO,Cursos,Activo
DI-EYDT-P,Diplomatura en Economía y Desarrollo del Turismo,Cursos,Dado de Baja
DI-GFPU-P,DIPLOMATURA EN GESTIÓN FINANCIERA PÚBLICA CON ENFOQUE A RESULTADOS,Cursos,Activo
DI-TEJO-P,DIPLOMA EN ESTUDIOS AVANZADOS EN TEORÍA ECONÓMICA PROF. DR. JULIO H. G. OLIVERA,Cursos,Activo
DO-CECO-P,DOCTORADO EN CIENCIAS ECONÓMICAS,Posgrado,Activo
DO-EINN-P,DOCTORADO EN ECONOMÍA DE LA INNOVACIÓN,Posgrado,Activo
ES-EEDT-P,ESPECIALIZACIÓN EN ECONOMÍA Y DESARROLLO DEL TURISMO,Posgrado,Activo
ES-EGFP-P,ESPECIALIZACIÓN EN GESTIÓN FINANCIERA PÚBLICA CON ENFOQUE A RESULTADOS,Posgrado,Activo
ES-EGTI-P,ESPECIALIZACIÓN EN GESTIÓN DE LA TECNOLOGÍA Y LA INNOVACIÓN,Posgrado,Activo
LI-LAGE-P,LICENCIATURA EN ADMINISTRACIÓN Y GESTIÓN EMPRESARIAL,Grado,Activo
LI-LECO-P,LICENCIATURA EN ECONOMÍA,Grado,Activo
LI-LEDC-P,LICENCIATURA EN ECONOMÍA DEL CONOCIMIENTO,Grado,Activo
LI-LTUR-P,LICENCIATURA EN TURISMO,Grado,Activo
MA-DESE-P,MAESTRÍA EN DESARROLLO ECONÓMICO,Posgrado,Activo
MA-DGTI-P,MAESTRÍA EN DISEÑO Y GESTIÓN DE LA TECNOLOGÍA Y LA INNOVACIÓN,Posgrado,Activo
MA-ESOL-P,MAESTRÍA EN ECONOMÍA SOLIDARIA,Posgrado,Activo
MA-FINA-P,MAESTRÍA EN FINANZAS,Posgrado,Activo
MA-MEDT-P,MAESTRÍA EN ECONOMÍA Y DESARROLLO DEL TURISMO,Posgrado,Activo
NG-EEYN-P,MOVILIDAD NACIONAL SIN CONVENIO - EEYN,Vocacional,Activo
PR-MPCC-P,MARTILLERO PÚBLICO Y CORREDOR DE COMERCIO,Pregrado,Activo
RV-EEYN-P,REVÁLIDAS - EEYN,Vocacional,Activo
TE-GUIA-P,TECNICATURA UNIVERSITARIA EN GUÍA DE TURISMO,Pregrado,Activo
TG-EEYN-P,MOVILIDAD INTERNA - EEYN,Vocacional,Activo
